Население территории;Стоимость дома
23086.800502686456;1059033.5578701235
40173.07217364482;1505890.91484695
36882.15939970458;1058987.9878760849
34310.24283090706;1260616.8066294468
26354.109472103148;630943.4893385402
26748.428424689715;1068138.0743935304
60828.24908540716;1502055.8173744078
36516.358972493836;1573936.5644777215
29387.39600281585;798869.5328331633
40149.96574921337;1545154.8126419624
47224.35984022191;1707045.722158058
34343.991885578806;663732.3968963273
39220.36146737246;1042814.0978200927
32326.123139488096;1291331.5184858206
35521.294033173246;1402818.2101658515
23929.524053267953;1306674.6599511993
39717.81357630952;1556786.6001947748
24595.90149782299;528485.2467305964
35719.653052030866;1019425.9367578316
44922.106702293066;1030591.4292116085
47560.77533629521;2146925.339888662
45574.74166225795;929247.5995364
40358.96010561757;718887.2315009277
28140.96708772475;743999.8191601974
27809.986543758896;895737.1333835076
40694.86951302233;1453974.5059508719
38853.91806648168;1125692.507295288
27784.742280185877;975429.4927929222
33970.16499037125;1240763.765571478
37520.65773244972;1577017.7600015546
33754.737804984616;1246830.1884286287
39355.625729470295;1170720.893654292
30122.473483557947;1071279.210244544
16810.783311257936;534305.1323349292
22355.235406669122;936368.9634048606
39395.15118232914;1199193.8313295112
27637.656548218994;1233220.009477811
22836.60756949132;1081150.1254838074
32947.711955068946;524712.7660674525
47162.183643191434;302355.83597895555
39705.4649593564;1026817.399788458
32778.1953418883;1762214.6795818857
27161.12860794621;882057.1705928424
43183.928487881036;1744932.210990927
26888.57956293911;1153871.4695016337
39741.07750943353;1499988.8795226102
35261.12701836895;1109588.380162506
19030.6154867746;980177.3051371257
21725.95428963467;1323952.027425176
43017.440757153636;1662494.7355443896
41084.6628246322;1417819.740218086
26881.130597967138;549976.1455595789
35263.65313745236;1054770.980647526
54915.961781984035;1415647.553437237
24377.909049316557;948788.2757094484
27825.57206129437;1159596.518619623
21030.96617717162;1547133.3964004475
18267.954705638844;1186688.505938349
32537.818768918012;772111.9721021007
36252.34068234427;1172730.1557693179
37098.74217235172;1111085.0168910609
33579.631512167616;1022781.1707429123
43347.804001154516;1274474.5458934947
36543.067280548086;1213530.8498658694
58600.82714967577;1411730.4772588315
37585.27457622871;858685.5659249562
40110.847604950715;1200961.8209226294
49481.56580760432;1520234.2293774572
31019.324820690395;1360908.3196200058
41640.435660656716;1360920.5303860817
43282.18300425021;1146532.4547405615
37283.35764595176;1789098.5206914945
44023.79068493212;852099.4640268538
29682.409864227804;746096.728900488
33197.77774263014;1534479.906564421
40458.735869517404;1215608.5310559657
32402.107549146833;941594.3284107696
60286.043101357674;1204598.0374631258
34171.360073668664;1597655.2584122843
39318.17075472386;1492011.4958621287
30865.58695374529;1421216.5044408585
48423.32244417688;1132522.9012947134
36271.408495749216;1102821.4381808082
52947.03636008709;1856211.350359604
47075.21223266851;1687998.9329604746
36115.81636440278;1063423.0072648665
28366.035431853423;1177289.88620479
42806.146643801265;1173474.3788373224
46974.57878575339;1637259.9986677852
35517.54187040426;1238938.2905319994
32960.75307019123;201898.08657249613
28882.900854673746;1439506.1015570092
29268.826741684727;585608.6326222321
35114.402463487364;1294685.1585470121
39388.515521077454;2014851.344161515
51815.09641862213;1840236.0058026887
49829.951500481395;1441421.912993609
22268.07530558209;1498640.5506503703
21867.47693989448;954746.5764328244
32458.98669901376;1124635.9316285902
40282.72428010049;1169944.2477587468
37127.925501004196;1114430.95342313
46770.6609678888;1783534.8388273641
48061.75267334161;1302933.2475692779
47039.21532294127;1241483.6118732512
9816.300884708531;954114.5439535476
43728.803486197095;1555320.5000011197
42165.81245686793;404976.365896227
25909.079196423907;1073183.759841627
41016.64709111233;1422195.8794505682
15353.956428663045;340605.2113124609
21762.949685625357;1170959.5262846122
30821.41208657685;942838.1647218134
31233.649345910067;1401613.9197693218
47089.47508109751;1175504.48633204
35991.72063788777;608794.2466921951
26882.651794677204;946943.0362171356
58745.312027558924;1819900.6366437143
28307.314325644977;1463130.2729789368
43416.497820927936;1252391.1798421678
43310.61242826768;1714445.1746365826
49463.37887902853;1291759.392660681
28719.41088814547;1809154.2893631738
17117.443674840757;1200539.361167783
29763.92534861556;1300265.2104154662
34207.397208470094;997448.7280769936
46477.67868450174;2152959.4089430883
35799.638274321755;1629983.8467032425
57390.89007381044;497579.4465868728
37441.12054361438;890112.5493178923
39680.609320436066;1064685.698733535
39515.57156160544;1530124.0163168954
35598.390437472044;1246246.8277597644
35512.2550468822;1240754.932046382
33254.60340942823;1760734.6903640141
43537.50294550512;1393746.760467427
29497.971293353734;1172385.8977045629
15969.926041239794;483986.10899252974
38052.87644316596;1388530.1566836066
40653.87006540168;1721739.3841384957
30699.33971051107;1276448.7920429741
32547.272533076568;1161742.677446362
16741.964987126685;786407.9451174276
37808.99667212122;1604920.973458414
50908.97890911073;1230149.1367864413
31379.782970582397;1051644.5540225492
43717.9130919397;1415073.6141811854
35197.94256902535;1043483.9151320348
44426.21364759751;1544379.7477356796
48726.951303303016;1352135.9672641808
29293.074048931026;1505727.4308014044
31755.721364239937;1416965.9786882403
31946.30386752329;1046721.9761732473
32745.368120153835;939040.0035601155
17568.733760583364;1383031.332366437
29636.507110556628;1072503.237943672
24997.108705994284;1134397.7577153658
39129.296704702894;734827.50801229
33393.91660322465;991892.3174842466
34467.75869800994;1057252.5826211006
41828.57961688685;1237224.8587518162
43230.35215795722;1442632.5412265589
43947.680264122566;1877402.3197269463
35090.50080986771;1394518.4154676315
38061.99829895616;953939.3299056444
21651.699409211684;1219778.0342015522
32468.031152300973;1287325.381856674
38677.8151530554;1739893.5550495968
31843.876337225865;1213382.2226364696
